日期,電源開關狀態,外部資料狀態,開閉狀態,常開常閉設定狀態
2022/08/09 09:22:09,Power:Off,Data:False,State:Off,Valve:NC
2022/08/09 09:22:12,Power:Off,Data:Ture,State:Off,Valve:NC
2022/08/09 09:22:13,Power:Off,Data:Ture,State:Off,Valve:NO
2022/08/09 09:22:14,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 09:22:15,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 09:22:16,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 09:22:16,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 09:22:17,Power:On,Data:False,State:On,Valve:NC
2022/08/09 09:22:18,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 09:22:19,Power:On,Data:False,State:On,Valve:NC
2022/08/09 09:22:19,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 09:22:20,Power:On,Data:False,State:On,Valve:NC
2022/08/09 18:42:21,Power:Off,Data:False,State:Off,Valve:NC
2022/08/09 18:44:00,Power:Off,Data:False,State:Off,Valve:NC
2022/08/09 18:44:07,Power:On,Data:False,State:On,Valve:NC
2022/08/09 18:44:09,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 18:44:10,Power:On,Data:False,State:On,Valve:NC
2022/08/09 18:44:21,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 18:44:22,Power:On,Data:False,State:On,Valve:NC
2022/08/09 18:44:27,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 19:01:00,Power:Off,Data:False,State:Off,Valve:NC
2022/08/09 19:54:56,Power:On,Data:False,State:On,Valve:NC
2022/08/09 19:57:30,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 19:57:31,Power:On,Data:False,State:On,Valve:NC
2022/08/09 19:57:49,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 19:57:50,Power:On,Data:False,State:On,Valve:NC
2022/08/09 19:57:51,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 19:57:52,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 19:57:52,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 20:24:34,Power:Off,Data:False,State:Off,Valve:NC
2022/08/09 20:24:41,Power:Off,Data:False,State:Off,Valve:NO
2022/08/09 20:24:41,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 20:24:42,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 20:24:43,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 20:24:43,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 20:24:43,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 20:24:44,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 20:24:44,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 20:24:45,Power:On,Data:Ture,State:On,Valve:NO
2022/08/09 20:24:45,Power:On,Data:False,State:Off,Valve:NO
2022/08/09 20:24:46,Power:On,Data:False,State:On,Valve:NC
2022/08/09 20:24:47,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 20:24:48,Power:On,Data:False,State:On,Valve:NC
2022/08/09 20:24:48,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 20:24:48,Power:On,Data:False,State:On,Valve:NC
2022/08/09 20:24:49,Power:On,Data:Ture,State:Off,Valve:NC
2022/08/09 20:25:02,Power:Off,Data:False,State:Off,Valve:NC
